0,1,2,3,4
2013.01.11péntek,2,-6,5.3,Könnyû hó
2013.01.12szombat,-1,-5,5,Napos
2013.01.13vasárnap,-2,-4,5.3,Felhõs
2013.01.14hétfő,0,-2,6.4,Mérsékelt hó
2013.01.15kedd,1,1,3.1,Könnyû szitálás
2013.01.16szerda,1,-2,3.1,Köd
2013.01.17csütörtök,1,-3,3.9,Köd
2013.01.18péntek,-1,-5,4.4,Enyhe havazás
2013.01.19szombat,-4,-6,3.6,Részben felhõs
2013.01.20vasárnap,1,-2,3.9,Felhõs
2013.01.21hétfő,5,-1,3.9,Könnyû esõ
2013.01.22kedd,0,-5,5.8,"Könnyû, fagyos esõ"
2013.01.23szerda,0,-3,4.7,Enyhe havazás
2013.01.24csütörtök,0,-3,5,Felhõs
2013.01.25péntek,-2,-6,4.4,Napos
2013.01.26szombat,-3,-6,4.2,Felhõs
2013.01.27vasárnap,-3,-4,2.8,Részben felhõs
2013.01.28hétfő,0,-7,2.5,Enyhe havazás
2013.01.29kedd,1,-1,3.6,Köd
2013.01.30szerda,4,2,4.4,"Hûvös, könnyû szitálás"
2013.01.31csütörtök,5,2,8.6,Napos
2013.03.01péntek,7,-1,6.1,Részben felhõs
2013.03.02szombat,7,0,4.2,Napos
2013.03.03vasárnap,8,0,6.4,Napos
2013.03.04hétfő,10,1,3.3,Napos
2013.03.05kedd,8,2,5,Napos
2013.03.06szerda,12,8,4.7,Napos
2013.03.07csütörtök,11,6,4.4,"Hûvös, könnyû szitálás"
2013.03.08péntek,15,7,2.8,Felhõs
2013.03.09szombat,13,7,2.2,Felhõs
2013.03.10vasárnap,13,6,1.9,Felhõs
2013.03.11hétfő,14,5,4.4,Részben felhõs
2013.03.12kedd,13,7,3.1,Részben felhõs
2013.03.13szerda,12,6,3.1,Felhõs
2013.03.14csütörtök,5,-4,6.7,Mérsékelt vagy nehéz hó
2013.03.15péntek,-1,-8,8.6,Enyhe havazás
2013.03.16szombat,1,-3,5.3,Részben felhõs
2013.03.17vasárnap,2,-2,5.6,Napos
2013.03.18hétfő,2,2,7.2,Enyhe havazás
2013.03.19kedd,7,2,9.2,Részben felhõs
2013.03.20szerda,12,6,3.9,Részben felhõs
2013.03.21csütörtök,8,-1,7.2,Könnyû szitálás
2013.03.22péntek,6,-1,8.3,Napos
2013.03.23szombat,4,-4,5,Könnyû havazás
2013.03.24vasárnap,2,-3,5.8,Felhõs
2013.03.25hétfő,1,-3,6.9,Enyhe havazás
2013.03.26kedd,0,-2,5.3,Mérsékelt hó
2013.03.27szerda,3,-1,2.8,Enyhe havazás
2013.03.28csütörtök,4,1,3.3,Részben felhõs
